Region1,Region2,Year,Crop,Area planted,Production,Yield
mali,kitaregion,1999,maize,39929.09,65062.371,2.016
mali,kitaregion,2000,maize,19652.22,38698.123,2.06
mali,kitaregion,2001,maize,23712.84,46653.097,2.238
mali,kitaregion,2002,maize,27669.85,44483.551,1.679
mali,kitaregion,2003,maize,72474.91,204138.87399999998,1.941
mali,kitaregion,2004,maize,2858.2,1724.2,1.794
mali,kitaregion,2005,maize,37906.6,67603.55900000001,2.238
mali,kitaregion,2006,maize,22749.54,40381.21,2.207
mali,kitaregion,2007,maize,5369.69,11338.406,2.207
mali,kitaregion,2008,maize,76187.3,214625.889,1.977
mali,kitaregion,2009,maize,83607.16,185795.03,1.982
mali,kitaregion,2010,maize,226620.35,495055.36100000003,2.439
mali,kitaregion,2011,maize,15319.8,28365.08,1.616
mali,kitaregion,2012,maize,13352.55,21488.043999999998,2.043
mali,kitaregion,2013,maize,5831.95,13678.419,1.96
mali,kitaregion,2014,maize,64.95,19.041,1.944
mali,kitaregion,2015,maize,19377.67,27767.966,2.094
mali,kitaregion,2016,maize,3113.69,4811.875,2.067
mali,kitaregion,2017,maize,7107.67,10620.146999999999,1.83
mali,djidian,1999,maize,39929.09,65062.371,1.929
mali,kita,1999,maize,39929.09,65062.371	,2.179
mali,kokofata,1999,maize,39929.09,65062.371	,1.981
mali,sebekoro,1999,maize,39929.09,65062.371	,2.044
mali,djidian,2000,maize,39929.09,65062.371,1.714
mali,kita,2000,maize,39929.09,65062.371,1.928
mali,kokofata,2000,maize,39929.09,65062.371,2.150
mali,sebekoro,2000,maize,39929.09,65062.371	,2.154
mali,djidian,2001,maize,39929.09,65062.371	,2.000
mali,kita,2001,maize,39929.09,65062.371,2.365
mali,kokofata,2001,maize,39929.09,65062.371,2.272
mali,sebekoro,2001,maize,39929.09,65062.371,2.141
mali,djidian,2002,maize,39929.09,65062.371,1.418
mali,kita,2002,maize,39929.09,65062.371,1.475
mali,kokofata,2002,maize,39929.09,65062.371,1.880
mali,sebekoro,2002,maize,39929.09,65062.371	,1.500
mali,djidian,2003,maize,39929.09,65062.371,1.903
mali,kita,2003,maize,39929.09,65062.371,2.055
mali,kokofata,2003,maize,39929.09,65062.371,1.964
mali,sebekoro,2003,maize,39929.09,65062.371,1.732
mali,djidian,2004,maize,39929.09,65062.371	,1.654
mali,kita,2004,maize,39929.09,65062.371,1.937
mali,kokofata,2004,maize,39929.09,65062.371,1.850
mali,sebekoro,2004,maize,39929.09,65062.371,1.525
mali,djidian,2005,maize,39929.09,65062.371	,2.090
mali,kita,2005,maize,39929.09,65062.371,2.362
mali,kokofata,2005,maize,39929.09,65062.371,2.200
mali,sebekoro,2005,maize,39929.09,65062.371	,2.263
mali,djidian,2006,maize,39929.09,65062.371,2.025
mali,kita,2006,maize,39929.09,65062.371,2.265
mali,kokofata,2006,maize,39929.09,65062.371,2.356
mali,sebekoro,2006,maize,39929.09,65062.371,1.960
mali,djidian,2007,maize,39929.09,65062.371,1.670
mali,kita,2007,maize,39929.09,65062.371,1.892
mali,kokofata,2007,maize,39929.09,65062.371,1.851
mali,sebekoro,2007,maize,39929.09,65062.371,1.847
mali,djidian,2008,maize,39929.09,65062.371,1.860
mali,kita,2008,maize,39929.09,65062.371,1.831
mali,kokofata,2008,maize,39929.09,65062.371,2.183
mali,sebekoro,2008,maize,39929.09,65062.371,1.911
mali,djidian,2009,maize,39929.09,65062.371,1.690
mali,kita,2009,maize,39929.09,65062.371,1.793
mali,kokofata,2009,maize,39929.09,65062.371,2.267
mali,sebekoro,2009,maize,39929.09,65062.371,1.880
mali,djidian,2010,maize,39929.09,65062.371,2.151
mali,kita,2010,maize,39929.09,65062.371,2.286
mali,kokofata,2010,maize,39929.09,65062.371,2.506
mali,sebekoro,2010,maize,39929.09,65062.371,2.579
mali,djidian,2011,maize,39929.09,65062.371,1.331
mali,kita,2011,maize,39929.09,65062.371,1.483
mali,kokofata,2011,maize,39929.09,65062.371,1.835
mali,sebekoro,2011,maize,39929.09,65062.371,1.452
mali,djidian,2012,maize,39929.09,65062.371,1.950
mali,kita,2012,maize,39929.09,65062.371,1.972
mali,kokofata,2012,maize,39929.09,65062.371,2.138
mali,sebekoro,2012,maize,39929.09,65062.371	,1.993
mali,djidian,2013,maize,39929.09,65062.371,1.930
mali,kita,2013,maize,39929.09,65062.371,1.884
mali,kokofata,2013,maize,39929.09,65062.371,2.086
mali,sebekoro,2013,maize,39929.09,65062.371,1.844
mali,djidian,2014,maize,39929.09,65062.371,1.652
mali,kita,2014,maize,39929.09,65062.371,1.788
mali,kokofata,2014,maize,39929.09,65062.371,2.052
mali,sebekoro,2014,maize,39929.09,65062.371,2.070
mali,djidian,2015,maize,39929.09,65062.371,2.004
mali,kita,2015,maize,39929.09,65062.371,2.020
mali,kokofata,2015,maize,39929.09,65062.371,2.218
mali,sebekoro,2015,maize,39929.09,65062.371,2.026
mali,djidian,2016,maize,39929.09,65062.371,1.927
mali,kita,2016,maize,39929.09,65062.371,2.022
mali,kokofata,2016,maize,39929.09,65062.371,2.160
mali,sebekoro,2016,maize,39929.09,65062.371,2.026
mali,djidian,2017,maize,39929.09,65062.371,1.799
mali,kita,2017,maize,39929.09,65062.371,1.502
mali,kokofata,2017,maize,39929.09,65062.371,1.945
mali,sebekoro,2017,maize,39929.09,65062.371,1.946
,,,,,,
,,,,,,
,,,,,,
